Data;Descrição
2022-01-01;Confraternização Universal
2022-02-28;Carnaval
2022-03-01;Carnaval
2022-04-15;Paixão de Cristo
2022-04-21;Tiradentes
2022-06-16;Corpus Christi
2022-07-07;Independência do Brasil
2022-10-12;Nossa Senhora Aparecida
2022-11-02;Finados
2022-11-15;Proclamação da República
2022-12-30;Expediente interno nas instituições bancárias
2023-01-01;Confraternização Universal
2023-02-20;Carnaval
2023-02-21;Carnaval
2023-04-07;Paixão de Cristo
2023-04-21;Tiradentes
2023-05-01;Dia do Trabalho
2023-06-08;Corpus Christi
2023-09-07;Independência do Brasil
2023-10-12;Nossa Senhora Aparecida
2023-11-02;Finados
2023-11-15;Proclamação da República
2023-12-25;Natal
2023-12-29;Expediente interno nas instituições bancárias
2024-01-01;Confraternização Universal
2024-02-12;Carnaval
2024-02-13;Carnaval
2024-03-29;Paixão de Cristo
2024-05-01;Dia do Trabalho
2024-05-30;Corpus Christi
2024-11-15;Proclamação da República
2024-11-20;Consciência Negra
2024-12-24;Véspera de Natal
2024-12-25;Natal
2024-12-31;Expediente interno nas instituições bancárias
