18wheelr	18轮大卡车
alienfnt	异形前线
alpilotj	航空驾驶员
anmlbskta	动物篮球
asndynmt	快打刑事EX
azumanga	阿兹漫画大王射波波
basschal	世嘉巴斯钓鱼挑战赛
bdrdown	破镜怒潮
blokpong	方块乒乓
capsnk	卡普空对SNK千禧格斗2000
cfield	混沌时空
claychal	世嘉粘土挑战赛
cleoftp	埃及艳后宝石方块加强版
crackndj	裂纹DJ
cvs2	卡普空对SNK2千禧格斗2001
chocomk	乔科的标记
crakndj2	裂纹DJ第2部
cspike	神枪机兵
csmash	宇宙扣球
crzytaxi	疯狂出租车
confmiss	机密任务
deathcoxj	死亡火枪OX
demofist	破坏拳
derbyoc	德比赛马俱乐部
derbyoc2	德比赛马俱乐部2
derbyo2k	德比赛马俱乐部2000
dragntr3	龙之宝藏3
dirtypig	肮脏橄榄球
doa2m	生或死2
dolphin	蓝海豚｜海洋大战争
dragntr	龙之宝藏
dragntr2	龙之宝藏2
dybb99	爆裂棒球99
dygolf	虚拟哥尔夫
dybbnao	爆裂棒球	NAOMI
f355	法拉利F355挑战赛
f355p	法拉利F355挑战赛加强版
f355twin	法拉利F355挑战赛豪华版
f355twn2	法拉利F355挑战赛2豪华版
fotns	北斗之拳
ftspeed	超越光速
ggisuka	罪恶装备ISUKA
ggram2	全日本职业摔角2
gram2000	全日本职业摔角3
ggx	罪恶装备X
ggx15	罪恶装备X	1.5
ggxx	罪恶装备X2
ggxxrl	罪恶装备X2加强版
ggxxac	罪恶装备X2AC
ggxxsla	罪恶装备X2简化版
gundmct	机动战士高达:联邦对吉翁
gwing2	雷鸟之翼2
gundmxgd	机动战士高达:联邦对吉翁DX
gunsur2j	枪下游魂2	:生化危机代号维罗尼卡
hmgeo	重金属格斗
hotd2	死亡之屋2
illvelo	病态空间
ikaruga	斑鸠
inunoos	遛狗
jambo	你好！护林员冒险旅行
jingystm	禁技风暴
karous	卡洛斯羽
kick4csh	射门大奖
kofnwj	拳皇新浪潮
kofxi	拳皇11
kov7sprt	新·三国战纪:七星转生
kurucham	回转逆转变色龙
lupinsho	鲁邦三世射手
luptype	鲁邦三世打字员
manicpnc	狂躁惊怖鬼
mamonoro	被诅咒的小护
marstv	火星频道
maxspeed	巅峰时速
mazan	魔斩
mbaa	月姬格斗:逝血之战再临
meltyb	月姬格斗:动作华彩
moeru	飞碟入侵
mok	法老王|迷宫之王
monkeyba	猴子球
mslug6	合金弹头6
mushik4e	甲虫王者ⅣⅤⅥ
mushike	甲虫王者
mushik2e	甲虫王者ⅠⅡⅢ
mushi2k4	甲虫王者2004
mushi2k5	甲虫王者2005
mushi2k62	甲虫王者2006
mushikep	甲虫王者加强版
mvsc2	超级漫画英雄对卡普空2
ngbcj	NEOGEO格斗竞技场
ninjasltj	忍者突袭
oinori	祈福大明神祭典
otrigger	反恐英豪
pjustic	私立正义学院	NAOMI
puyoda	噗哟噗哟达人疯狂舞蹈
puyofev	狂热噗哟噗哟
pokasuka	飞鸟&飞鸟
pstone	能量宝石
pstone2	能量宝石2
psyvar2	闪速神机2
qmegamis	我的女神问答
quizqgd	口袋问答Q模式
rangrmsn	游侠任务
radirgyn	电波少年
radirgy	电波少年
ringout	4X4越野赛车
rhytngk	节奏天国
rumblef	斗鱼格斗
rumblefp	斗鱼格斗加强版
rumblef2	斗鱼格斗2
rumblf2p	斗鱼格斗2	加强版
salmankt	金太郎三人麻雀
samba	快乐桑巴
samba2k	快乐桑巴2000
samsptk	侍魂Ⅵ：天下第一剑客传
senko	旋光之轮舞:破裂秩序
sgtetris	世嘉俄罗斯方块
shaktam	疯狂电手鼓
shaktamb	疯狂电手鼓2001强力版
shaktmsp	疯狂电手鼓特别版
shangril	电幻天使对战麻雀
shikgam2	式神之城Ⅱ
shorsepr	明星赛马赛道回归
shorse	明星赛马
shorsel	明星赛马
shorsepb	明星赛马赛道回归
shorsem	明星赛马
shors2k1	明星赛马2001
shootopl	美式台球大赛NAOMI
sl2007	射击爱2007
smarinef	世嘉海洋钓鱼
smlg99	超级棒球大联盟99
spawn	再生侠∶恶魔之手
suchie3	偶像雀士3
sushibar	寿司连锁店
sstrkfgt	世嘉打击战斗机
tduno2	触控头脑2
tokyobus	东京巴士指南
totd	死亡打字员:完杀
toukon4	新日本摔跤:斗魂烈传4
toyfight	玩具斗士|玩具机器人
waidrive	喧哗赛车
vathletep	虚拟竞技
vfurlong	老虎赛马
virnba	虚拟NBA
vtennis	虚拟网球
vtenis2c	虚拟网球2
vonot	电脑战机2
vs2_2k	虚拟足球2	2000
wccf1dup	足球世界杯2001-2002
wrungp	御风者GP
wwfroyal	皇家摔角真人格斗比赛
xtrmhunt	狂热打猎
xtrmhnt2	狂热打猎2
zerogu2	零枪手2
zombrvn	僵尸复仇
zunou	触控头脑
