"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-104.67","50.43","REGINA RCS","4016699","2016-01-01","2016","01","01","","-2.5","","-11.4","","-7.0","","25.0","","0.0","","","M","","M","0.0","","3","","30","","35",""
"-104.67","50.43","REGINA RCS","4016699","2016-01-02","2016","01","02","","-3.2","","-15.9","","-9.6","","27.6","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2016-01-03","2016","01","03","","-5.7","","-16.6","","-11.2","","29.2","","0.0","","","M","","M","0.0","","2","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2016-01-04","2016","01","04","","-1.8","","-12.1","","-7.0","","25.0","","0.0","","","M","","M","0.0","","3","","14","","32",""
"-104.67","50.43","REGINA RCS","4016699","2016-01-05","2016","01","05","","-6.7","","-17.1","","-11.9","","29.9","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2016-01-06","2016","01","06","","-4.1","","-7.2","","-5.7","","23.7","","0.0","","","M","","M","0.2","","3","","15","","35",""
"-104.67","50.43","REGINA RCS","4016699","2016-01-07","2016","01","07","","-4.9","","-19.1","","-12.0","","30.0","","0.0","","","M","","M","0.7","","3","","36","","39",""
"-104.67","50.43","REGINA RCS","4016699","2016-01-08","2016","01","08","","-15.8","","-18.7","","-17.3","","35.3","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2016-01-09","2016","01","09","","-16.8","","-27.0","","-21.9","","39.9","","0.0","","","M","","M","0.2","","4","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2016-01-10","2016","01","10","","-14.5","","-28.1","","-21.3","","39.3","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2016-01-11","2016","01","11","","-12.0","","-23.4","","-17.7","","35.7","","0.0","","","M","","M","0.0","","4","","33","","48",""
"-104.67","50.43","REGINA RCS","4016699","2016-01-12","2016","01","12","","-7.7","","-21.1","","-14.4","","32.4","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2016-01-13","2016","01","13","","-6.7","","-15.3","","-11.0","","29.0","","0.0","","","M","","M","0.9","","3","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2016-01-14","2016","01","14","","-7.0","","-11.4","","-9.2","","27.2","","0.0","","","M","","M","1.5","","4","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2016-01-15","2016","01","15","","-11.4","","-24.3","","-17.9","","35.9","","0.0","","","M","","M","0.9","","9","","36","","32",""
