"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-104.67","50.43","REGINA RCS","4016699","2011-01-01","2011","01","01","","-17.4","","-29.5","","-23.5","","41.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2011-01-02","2011","01","02","","-13.5","","-17.6","","-15.6","","33.6","","0.0","","","M","","M","1.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2011-01-03","2011","01","03","","-16.2","","-25.1","","-20.7","","38.7","","0.0","","","M","","M","0.0","","","","31","","35",""
"-104.67","50.43","REGINA RCS","4016699","2011-01-04","2011","01","04","","-4.9","","-16.3","","-10.6","","28.6","","0.0","","","M","","M","0.6","","","","30","","35",""
"-104.67","50.43","REGINA RCS","4016699","2011-01-05","2011","01","05","","-0.4","","-9.4","","-4.9","","22.9","","0.0","","","M","","M","0.2","","","","28","","33",""
"-104.67","50.43","REGINA RCS","4016699","2011-01-06","2011","01","06","","-2.5","","-10.7","","-6.6","","24.6","","0.0","","","M","","M","0.4","","","","31","","61",""
"-104.67","50.43","REGINA RCS","4016699","2011-01-07","2011","01","07","","-2.1","","-14.8","","-8.5","","26.5","","0.0","","","M","","M","0.0","","","","33","","56",""
"-104.67","50.43","REGINA RCS","4016699","2011-01-08","2011","01","08","","-11.6","","-15.0","","-13.3","","31.3","","0.0","","","M","","M","0.4","","","","12","","50",""
"-104.67","50.43","REGINA RCS","4016699","2011-01-09","2011","01","09","","-14.8","","-16.1","","-15.5","","33.5","","0.0","","","M","","M","1.0","","","","13","","44",""
"-104.67","50.43","REGINA RCS","4016699","2011-01-10","2011","01","10","","-14.8","","-18.7","","-16.8","","34.8","","0.0","","","M","","M","1.6","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2011-01-11","2011","01","11","","-16.1","","-30.4","","-23.3","","41.3","","0.0","","","M","","M","0.8","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2011-01-12","2011","01","12","","-16.0","","-30.7","","-23.4","","41.4","","0.0","","","M","","M","0.8","","","","13","","56",""
"-104.67","50.43","REGINA RCS","4016699","2011-01-13","2011","01","13","","-14.6","","-21.7","","-18.2","","36.2","","0.0","","","M","","M","0.3","","","","15","","39",""
"-104.67","50.43","REGINA RCS","4016699","2011-01-14","2011","01","14","","-16.3","","-19.3","","-17.8","","35.8","","0.0","","","M","","M","5.5","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2011-01-15","2011","01","15","","-18.1","","-23.9","","-21.0","","39.0","","0.0","","","M","","M","1.7","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2011-01-16","2011","01","16","","-14.1","","-19.4","","-16.8","","34.8","","0.0","","","M","","M","0.4","","","","14","","32",""
"-104.67","50.43","REGINA RCS","4016699","2011-01-17","2011","01","17","","-16.7","","-25.0","","-20.9","","38.9","","0.0","","","M","","M","0.4","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2011-01-18","2011","01","18","","-13.5","","-22.2","","-17.9","","35.9","","0.0","","","M","","M","0.2","","","","25","","37",""
"-104.67","50.43","REGINA RCS","4016699","2011-01-19","2011","01","19","","-9.7","","-27.4","","-18.6","","36.6","","0.0","","","M","","M","0.0","","","","34","","48",""
"-104.67","50.43","REGINA RCS","4016699","2011-01-20","2011","01","20","","-15.2","","-36.2","","-25.7","","43.7","","0.0","","","M","","M","0.2","","41","","16","","56",""
