"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 00:00","2019","02","01","00:00","-9.4","","-11.7","","83","","13","","20","","","","93.70","","","","-17","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 01:00","2019","02","01","01:00","-8.9","","-11.1","","84","","12","","21","","","","93.62","","","","-17","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 02:00","2019","02","01","02:00","-9.0","","-11.2","","84","","12","","21","","","","93.59","","","","-17","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 03:00","2019","02","01","03:00","-8.0","","-10.3","","84","","11","","21","","","","93.59","","","","-16","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 04:00","2019","02","01","04:00","-8.0","","-10.3","","84","","12","","21","","","","93.58","","","","-16","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 05:00","2019","02","01","05:00","-7.9","","-10.3","","83","","14","","12","","","","93.62","","","","-13","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 06:00","2019","02","01","06:00","-8.1","","-10.5","","83","","12","","18","","","","93.53","","","","-15","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 07:00","2019","02","01","07:00","-7.9","","-10.3","","83","","6","","8","","","","93.67","","","","-12","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 08:00","2019","02","01","08:00","-7.8","","-10.2","","83","","5","","9","","","","93.68","","","","-12","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 09:00","2019","02","01","09:00","-8.2","","-10.2","","86","","2","","9","","","","93.73","","","","-13","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 10:00","2019","02","01","10:00","-7.0","","-9.6","","82","","3","","16","","","","93.79","","","","-13","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 11:00","2019","02","01","11:00","-9.6","","-12.8","","77","","3","","22","","","","93.90","","","","-18","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 12:00","2019","02","01","12:00","-9.9","","-13.6","","75","","3","","20","","","","93.95","","","","-18","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 13:00","2019","02","01","13:00","-10.5","","-14.5","","73","","3","","23","","","","94.02","","","","-19","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 14:00","2019","02","01","14:00","-11.1","","-14.9","","73","","3","","21","","","","94.04","","","","-19","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 15:00","2019","02","01","15:00","-11.4","","-15.2","","73","","3","","19","","","","94.09","","","","-19","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 16:00","2019","02","01","16:00","-12.6","","-16.2","","74","","2","","25","","","","94.17","","","","-22","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 17:00","2019","02","01","17:00","-13.8","","-17.1","","76","","3","","23","","","","94.21","","","","-23","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 18:00","2019","02","01","18:00","-14.4","","-17.5","","77","","4","","22","","","","94.27","","","","-24","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 19:00","2019","02","01","19:00","-14.6","","-17.4","","79","","6","","18","","","","94.34","","","","-23","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 20:00","2019","02","01","20:00","-14.8","","-17.3","","81","","7","","17","","","","94.33","","","","-23","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 21:00","2019","02","01","21:00","-15.2","","-17.9","","80","","9","","17","","","","94.39","","","","-24","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 22:00","2019","02","01","22:00","-15.8","","-18.5","","80","","9","","20","","","","94.35","","","","-25","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-01 23:00","2019","02","01","23:00","-16.2","","-18.9","","80","","9","","22","","","","94.31","","","","-26","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 00:00","2019","02","02","00:00","-16.1","","-19.1","","78","","10","","21","","","","94.26","","","","-26","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 01:00","2019","02","02","01:00","-16.0","","-19.0","","78","","10","","24","","","","94.16","","","","-26","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 02:00","2019","02","02","02:00","-16.0","","-18.9","","78","","10","","24","","","","94.14","","","","-26","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 03:00","2019","02","02","03:00","-15.9","","-18.8","","78","","10","","23","","","","94.06","","","","-26","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 04:00","2019","02","02","04:00","-16.5","","-19.5","","78","","11","","29","","","","93.98","","","","-28","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 05:00","2019","02","02","05:00","-16.8","","-19.7","","78","","11","","28","","","","93.92","","","","-28","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 06:00","2019","02","02","06:00","-17.0","","-20.0","","77","","12","","36","","","","93.77","","","","-30","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 07:00","2019","02","02","07:00","-16.9","","-20.0","","77","","12","","33","","","","93.67","","","","-29","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 08:00","2019","02","02","08:00","-16.8","","-19.7","","78","","12","","34","","","","93.61","","","","-29","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 09:00","2019","02","02","09:00","-17.1","","-20.0","","78","","13","","40","","","","93.51","","","","-30","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 10:00","2019","02","02","10:00","-17.7","","-20.7","","78","","13","","44","","","","93.45","","","","-32","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 11:00","2019","02","02","11:00","-17.7","","-20.7","","77","","13","","36","","","","93.48","","","","-31","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 12:00","2019","02","02","12:00","-17.2","","-20.1","","78","","13","","33","","","","93.37","","","","-29","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 13:00","2019","02","02","13:00","-16.9","","-20.0","","77","","12","","30","","","","93.40","","","","-29","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 14:00","2019","02","02","14:00","-16.6","","-19.8","","76","","12","","30","","","","93.31","","","","-28","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 15:00","2019","02","02","15:00","-15.8","","-19.0","","76","","11","","19","","","","93.41","","","","-25","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 16:00","2019","02","02","16:00","-15.7","","-19.0","","75","","9","","15","","","","93.51","","","","-24","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 17:00","2019","02","02","17:00","-16.2","","-19.5","","76","","5","","16","","","","93.63","","","","-25","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 18:00","2019","02","02","18:00","-17.2","","-20.5","","75","","3","","19","","","","93.82","","","","-27","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 19:00","2019","02","02","19:00","-17.2","","-20.6","","75","","2","","11","","","","93.95","","","","-24","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 20:00","2019","02","02","20:00","-18.3","","-21.8","","74","","36","","16","","","","94.06","","","","-27","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 21:00","2019","02","02","21:00","-19.5","","-23.0","","73","","1","","23","","","","94.12","","","","-31","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 22:00","2019","02","02","22:00","-19.8","","-23.5","","73","","36","","23","","","","94.24","","","","-31","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-02 23:00","2019","02","02","23:00","-21.0","","-24.8","","71","","35","","25","","","","94.37","","","","-33","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-03 00:00","2019","02","03","00:00","-22.4","","-26.2","","71","","35","","31","","","","94.46","","","","-36","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-03 01:00","2019","02","03","01:00","-24.1","","-27.9","","71","","34","","28","","","","94.56","","","","-38","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-03 02:00","2019","02","03","02:00","-25.2","","-29.1","","70","","34","","27","","","","94.65","","","","-39","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-03 03:00","2019","02","03","03:00","-26.1","","-30.0","","69","","33","","18","","","","94.75","","","","-38","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-03 04:00","2019","02","03","04:00","-25.1","","-29.0","","70","","33","","19","","","","94.78","","","","-37","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-03 05:00","2019","02","03","05:00","-24.7","","-29.0","","67","","33","","20","","","","94.82","","","","-36","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-03 06:00","2019","02","03","06:00","-24.7","","-28.9","","68","","34","","30","","","","94.79","","","","-39","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-03 07:00","2019","02","03","07:00","-24.8","","-29.1","","68","","35","","33","","","","94.80","","","","-39","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-03 08:00","2019","02","03","08:00","-24.9","","-29.2","","67","","1","","27","","","","94.81","","","","-38","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-03 09:00","2019","02","03","09:00","-25.2","","-29.5","","67","","1","","25","","","","94.86","","","","-38","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-03 10:00","2019","02","03","10:00","-25.0","","-29.4","","67","","36","","24","","","","94.90","","","","-38","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-03 11:00","2019","02","03","11:00","-24.8","","-29.3","","66","","2","","25","","","","94.91","","","","-38","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-03 12:00","2019","02","03","12:00","-24.4","","-28.2","","70","","4","","17","","","","94.96","","","","-35","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-03 13:00","2019","02","03","13:00","-24.2","","-28.0","","71","","1","","16","","","","94.96","","","","-35","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-03 14:00","2019","02","03","14:00","-24.0","","-27.9","","70","","2","","15","","","","94.95","","","","-34","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-03 15:00","2019","02","03","15:00","-23.8","","-27.6","","71","","35","","16","","","","94.95","","","","-34","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-03 16:00","2019","02","03","16:00","-23.6","","-27.5","","70","","36","","17","","","","94.98","","","","-34","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-03 17:00","2019","02","03","17:00","-23.4","","-27.3","","70","","36","","17","","","","95.05","","","","-34","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-03 18:00","2019","02","03","18:00","-23.2","","-27.0","","71","","36","","21","","","","95.05","","","","-35","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-03 19:00","2019","02","03","19:00","-23.5","","-27.2","","71","","1","","22","","","","95.10","","","","-35","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-02-03 20:00","2019","02","03","20:00","-23.2","","-26.7","","72","","1","","18","","","","95.10","","","","-34","","NA"
