"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-104.67","50.43","REGINA RCS","4016699","2019-11-01 00:00","2019","11","01","00:00","0.5","","-0.9","","90","","33","","27","","","","94.68","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-11-01 01:00","2019","11","01","01:00","0.2","","-1.6","","87","","32","","30","","","","94.76","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-11-01 02:00","2019","11","01","02:00","-0.4","","-3.7","","79","","33","","30","","","","94.87","","","","-7","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-11-01 03:00","2019","11","01","03:00","-1.4","","-4.0","","83","","33","","27","","","","94.97","","","","-8","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-11-01 04:00","2019","11","01","04:00","-1.4","","-3.5","","85","","31","","21","","","","95.02","","","","-7","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-11-01 05:00","2019","11","01","05:00","-0.9","","-3.0","","86","","30","","21","","","","95.04","","","","-7","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-11-01 06:00","2019","11","01","06:00","0.3","","-1.9","","85","","31","","28","","","","95.05","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-11-01 07:00","2019","11","01","07:00","0.6","","-2.0","","82","","31","","30","","","","95.06","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-11-01 08:00","2019","11","01","08:00","0.4","","-2.3","","82","","31","","27","","","","95.13","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-11-01 09:00","2019","11","01","09:00","0.7","","-2.7","","78","","31","","31","","","","95.19","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-11-01 10:00","2019","11","01","10:00","1.1","","-3.0","","74","","31","","34","","","","95.24","","","","","","NA"
