"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-104.67","50.43","REGINA RCS","4016699","2012-01-01","2012","01","01","","-7.5","","-20.4","","-14.0","","32.0","","0.0","","","M","","M","0.0","","3","","30","","52",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-02","2012","01","02","","-4.8","","-21.5","","-13.2","","31.2","","0.0","","","M","","M","0.0","","2","","13","","52",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-03","2012","01","03","","2.7","","-7.4","","-2.4","","20.4","","0.0","","","M","","M","0.0","","3","","29","","46",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-04","2012","01","04","","4.8","","-6.4","","-0.8","","18.8","","0.0","","","M","","M","0.0","","3","","24","","37",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-05","2012","01","05","","5.8","","0.5","","3.2","","14.8","","0.0","","","M","","M","0.0","","3","","29","","67",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-06","2012","01","06","","1.1","","-7.9","","-3.4","","21.4","","0.0","","","M","","M","0.0","","","","31","","56",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-07","2012","01","07","","0.6","","-11.6","","-5.5","","23.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-08","2012","01","08","","2.2","","-11.3","","-4.6","","22.6","","0.0","","","M","","M","0.0","","","","28","","39",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-09","2012","01","09","","5.7","","-5.9","","-0.1","","18.1","","0.0","","","M","","M","0.0","","","","27","","37",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-10","2012","01","10","","3.2","","-9.5","","-3.2","","21.2","","0.0","","","M","","M","0.0","","","","33","","65",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-11","2012","01","11","","-9.5","","-17.9","","-13.7","","31.7","","0.0","","","M","","M","0.0","","","","34","","69",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-12","2012","01","12","","-4.7","","-18.0","","-11.4","","29.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-13","2012","01","13","","0.1","","-9.3","","-4.6","","22.6","","0.0","","","M","","M","0.0","","","","30","","41",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-14","2012","01","14","","-1.8","","-12.3","","-7.1","","25.1","","0.0","","","M","","M","0.6","","","","12","","43",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-15","2012","01","15","","-3.0","","-19.9","","-11.5","","29.5","","0.0","","","M","","M","0.0","","","","34","","70",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-16","2012","01","16","","-19.4","","-25.3","","-22.4","","40.4","","0.0","","","M","","M","0.2","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-17","2012","01","17","","-25.1","","-30.3","","-27.7","","45.7","","0.0","","0.0","","","M","1.3","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-18","2012","01","18","","-26.6","","-31.1","","-28.9","","46.9","","0.0","","","M","","M","0.2","","1","","29","","37",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-19","2012","01","19","","-20.2","","-30.4","","-25.3","","43.3","","0.0","","","M","","M","0.0","","1","","26","","33",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-20","2012","01","20","","-17.1","","-31.2","","-24.2","","42.2","","0.0","","","M","","M","0.0","","1","","14","","35",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-21","2012","01","21","","-9.8","","-17.1","","-13.5","","31.5","","0.0","","","M","","M","0.0","","1","","12","","52",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-22","2012","01","22","","-10.8","","-21.7","","-16.3","","34.3","","0.0","","","M","","M","0.0","","","","32","","39",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-23","2012","01","23","","-7.1","","-22.1","","-14.6","","32.6","","0.0","","","M","","M","0.0","","","","13","","33",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-24","2012","01","24","","-1.9","","-13.1","","-7.5","","25.5","","0.0","","","M","","M","0.0","","","","19","","33",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-25","2012","01","25","","4.2","","-9.5","","-2.7","","20.7","","0.0","","","M","","M","0.8","","","","31","","54",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-26","2012","01","26","","1.1","","-9.9","","-4.4","","22.4","","0.0","","","M","","M","0.0","","","","30","","43",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-27","2012","01","27","","-3.6","","-12.1","","-7.9","","25.9","","0.0","","","M","","M","0.0","","","","30","","61",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-28","2012","01","28","","-5.1","","-12.4","","-8.8","","26.8","","0.0","","","M","","M","0.0","","","","33","","50",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-29","2012","01","29","","-4.3","","-13.0","","-8.7","","26.7","","0.0","","","M","","M","0.2","","","","14","","48",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-30","2012","01","30","","1.5","","-7.6","","-3.1","","21.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-01-31","2012","01","31","","4.8","","-9.0","","-2.1","","20.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-01","2012","02","01","","-0.5","","-8.5","","-4.5","","22.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-02","2012","02","02","","-2.0","","-8.5","","-5.3","","23.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-03","2012","02","03","","0.3","","-12.4","","-6.1","","24.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-04","2012","02","04","","1.9","","-12.7","","-5.4","","23.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-05","2012","02","05","","5.2","","-10.3","","-2.6","","20.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-06","2012","02","06","","-3.6","","-10.6","","-7.1","","25.1","","0.0","","","M","","M","0.0","","","","36","","41",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-07","2012","02","07","","-6.5","","-15.0","","-10.8","","28.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-08","2012","02","08","","-0.9","","-14.5","","-7.7","","25.7","","0.0","","","M","","M","0.0","","","","22","","33",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-09","2012","02","09","","-8.3","","-21.9","","-15.1","","33.1","","0.0","","","M","","M","0.0","","","","36","","41",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-10","2012","02","10","","-16.5","","-26.1","","-21.3","","39.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-11","2012","02","11","","-8.9","","-25.1","","-17.0","","35.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-12","2012","02","12","","-0.2","","-19.7","","-10.0","","28.0","","0.0","","","M","","M","0.0","","","","14","","32",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-13","2012","02","13","","1.6","","-16.5","","-7.5","","25.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-14","2012","02","14","","-0.2","","-13.2","","-6.7","","24.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-15","2012","02","15","","-1.6","","-12.5","","-7.1","","25.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-16","2012","02","16","","-0.4","","-14.0","","-7.2","","25.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-17","2012","02","17","","-1.9","","-12.0","","-7.0","","25.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-18","2012","02","18","","1.1","","-11.6","","-5.3","","23.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-19","2012","02","19","","5.6","","-7.4","","-0.9","","18.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-20","2012","02","20","","-0.2","","-12.1","","-6.2","","24.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-21","2012","02","21","","-0.7","","-5.2","","-3.0","","21.0","","0.0","","","M","","M","0.0","","","","33","","32",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-22","2012","02","22","","3.7","","-9.9","","-3.1","","21.1","","0.0","","","M","","M","0.0","","","","32","","35",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-23","2012","02","23","","-1.1","","-7.0","","-4.1","","22.1","","0.0","","","M","","M","0.0","","","","32","","46",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-24","2012","02","24","","-4.8","","-11.7","","-8.3","","26.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-25","2012","02","25","","-7.1","","-10.9","","-9.0","","27.0","","0.0","","","M","","M","1.1","","","","12","","67",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-26","2012","02","26","","-9.4","","-23.5","","-16.5","","34.5","","0.0","","","M","","M","0.4","","","","5","","43",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-27","2012","02","27","","-9.1","","-24.9","","-17.0","","35.0","","0.0","","","M","","M","0.2","","","","18","","37",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-28","2012","02","28","","-5.5","","-20.2","","-12.9","","30.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-02-29","2012","02","29","","-2.8","","-13.5","","-8.2","","26.2","","0.0","","","M","","M","0.0","","","","14","","39",""
"-104.67","50.43","REGINA RCS","4016699","2012-03-01","2012","03","01","","-3.6","","-10.6","","-7.1","","25.1","","0.0","","0.0","","","M","4.0","","1","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-03-02","2012","03","02","","-6.6","","-19.9","","-13.3","","31.3","","0.0","","","M","","M","0.4","","6","","32","","32",""
"-104.67","50.43","REGINA RCS","4016699","2012-03-03","2012","03","03","","-5.3","","-23.6","","-14.5","","32.5","","0.0","","","M","","M","0.8","","4","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-03-04","2012","03","04","","-0.6","","-6.0","","-3.3","","21.3","","0.0","","","M","","M","0.2","","5","","32","","44",""
"-104.67","50.43","REGINA RCS","4016699","2012-03-05","2012","03","05","","1.4","","-6.3","","-2.5","","20.5","","0.0","","","M","","M","0.0","","3","","10","","41",""
"-104.67","50.43","REGINA RCS","4016699","2012-03-06","2012","03","06","","-0.6","","-12.3","","-6.5","","24.5","","0.0","","","M","","M","0.2","","3","","8","","43",""
"-104.67","50.43","REGINA RCS","4016699","2012-03-07","2012","03","07","","-3.7","","-22.0","","-12.9","","30.9","","0.0","","0.0","","","M","0.7","","2","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2012-03-08","2012","03","08","","-3.1","","-13.5","","-8.3","","26.3","","0.0","","","M","","M","0.0","","3","","2","","46",""
