"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-104.67","50.43","REGINA RCS","4016699","2019-01-01","2019","01","01","","-2.3","","-29.2","","-15.7","","33.7","","0.0","","","","","","1.0","","0","","18","","44",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-02","2019","01","02","","3.0","","-15.8","","-6.4","","24.4","","0.0","","","","","","0.2","","2","","27","","44",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-03","2019","01","03","","1.6","","-10.4","","-4.4","","22.4","","0.0","","","","","","0.0","","1","","","","",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-04","2019","01","04","","1.6","","-12.7","","-5.6","","23.6","","0.0","","","","","","0.0","","1","","","","",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-05","2019","01","05","","-2.8","","-8.6","","-5.7","","23.7","","0.0","","","","","","0.0","","1","","13","","47",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-06","2019","01","06","","-0.5","","-6.8","","-3.7","","21.7","","0.0","","","","","","0.0","","1","","14","","65",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-07","2019","01","07","","0.4","","-14.7","","-7.1","","25.1","","0.0","","","","","","0.0","","1","","30","","70",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-08","2019","01","08","","-14.6","","-25.2","","-19.9","","37.9","","0.0","","","","","","0.0","","1","","30","","63",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-09","2019","01","09","","-12.7","","-26.0","","-19.3","","37.3","","0.0","","","","","","0.0","","1","","13","","60",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-10","2019","01","10","","-7.0","","-16.0","","-11.5","","29.5","","0.0","","","","","","0.0","","0","","15","","56",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-11","2019","01","11","","-11.1","","-19.0","","-15.1","","33.1","","0.0","","","","","","0.0","","0","","","","",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-12","2019","01","12","","-8.3","","-14.6","","-11.4","","29.4","","0.0","","","","","","0.0","","1","","14","","44",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-13","2019","01","13","","-4.0","","-17.3","","-10.6","","28.6","","0.0","","","","","","0.0","","0","","","","",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-14","2019","01","14","","-2.1","","-11.6","","-6.8","","24.8","","0.0","","","","","","0.0","","0","","","","",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-15","2019","01","15","","-3.1","","-19.4","","-11.2","","29.2","","0.0","","","","","","0.0","","0","","36","","59",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-16","2019","01","16","","-12.8","","-19.4","","-16.1","","34.1","","0.0","","","","","","0.0","","0","","12","","34",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-17","2019","01","17","","-12.9","","-31.3","","-22.1","","40.1","","0.0","","","","","","0.4","","","","","","",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-18","2019","01","18","","-18.9","","-28.9","","-23.9","","41.9","","0.0","","","","","","0.0","","1","","","","",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-19","2019","01","19","","-16.5","","-22.4","","-19.4","","37.4","","0.0","","","","","","0.3","","0","","13","","55",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-20","2019","01","20","","-14.6","","-20.2","","-17.4","","35.4","","0.0","","","","","","0.2","","","","12","","56",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-21","2019","01","21","","-8.2","","-15.1","","-11.7","","29.7","","0.0","","","","","","0.0","","","","34","","46",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-22","2019","01","22","","-3.8","","-21.7","","-12.8","","30.8","","0.0","","","","","","0.0","","","","","","",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-23","2019","01","23","","-6.3","","-24.3","","-15.3","","33.3","","0.0","","","","","","0.2","","","","36","","54",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-24","2019","01","24","","-13.8","","-32.8","","-23.3","","41.3","","0.0","","","","","","0.0","","","","","","",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-25","2019","01","25","","-8.9","","-24.2","","-16.5","","34.5","","0.0","","","","","","0.0","","","","","","",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-26","2019","01","26","","-9.0","","-17.0","","-13.0","","31.0","","0.0","","","","","","0.0","","","","35","","31",""
"-104.67","50.43","REGINA RCS","4016699","2019-01-27","2019","01","27","","3.1","","-9.8","","-3.4","","21.4","","0.0","","","","","","2.1","","1","","35","","74",""
