"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-104.67","50.43","REGINA RCS","4016699","2017-01-01","2017","01","01","","-14.6","","-25.6","","-20.1","","38.1","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-02","2017","01","02","","-15.5","","-25.3","","-20.4","","38.4","","0.0","","","M","","M","0.2","","5","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-03","2017","01","03","","-18.9","","-31.6","","-25.3","","43.3","","0.0","","","M","","M","0.0","","4","","33","","33",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-04","2017","01","04","","-17.6","","-26.0","","-21.8","","39.8","","0.0","","","M","","M","0.2","","4","","34","","32",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-05","2017","01","05","","-14.9","","-27.1","","-21.0","","39.0","","0.0","","","M","","M","0.2","","6","","29","","32",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-06","2017","01","06","","-16.0","","-28.7","","-22.4","","40.4","","0.0","","","M","","M","0.0","","6","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-07","2017","01","07","","-19.9","","-30.4","","-25.2","","43.2","","0.0","","","M","","M","0.0","","5","","13","","35",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-08","2017","01","08","","-16.0","","-26.8","","-21.4","","39.4","","0.0","","","M","","M","0.2","","5","","33","","35",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-09","2017","01","09","","-16.6","","-23.3","","-20.0","","38.0","","0.0","","","M","","M","1.5","","5","","31","","39",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-10","2017","01","10","","-17.9","","-29.1","","-23.5","","41.5","","0.0","","","M","","M","0.2","","7","","31","","39",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-11","2017","01","11","","-9.6","","-35.0","","-22.3","","40.3","","0.0","","","M","","M","0.0","","9","","31","","76",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-12","2017","01","12","","-15.8","","-30.9","","-23.4","","41.4","","0.0","","","M","","M","0.0","","4","","33","","72",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-13","2017","01","13","","-12.5","","-29.2","","-20.9","","38.9","","0.0","","","M","","M","0.0","","4","","13","","50",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-14","2017","01","14","","-11.2","","-21.6","","-16.4","","34.4","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-15","2017","01","15","","-4.2","","-18.4","","-11.3","","29.3","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-16","2017","01","16","","-1.9","","-15.7","","-8.8","","26.8","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-17","2017","01","17","","3.8","","-8.2","","-2.2","","20.2","","0.0","","","M","","M","0.0","","4","","25","","37",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-18","2017","01","18","","5.4","","-3.8","","0.8","","17.2","","0.0","","","M","","M","0.0","","4","","23","","35",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-19","2017","01","19","","3.7","","-5.9","","-1.1","","19.1","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-20","2017","01","20","","0.8","","-10.0","","-4.6","","22.6","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-21","2017","01","21","","-2.0","","-8.2","","-5.1","","23.1","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-22","2017","01","22","","-2.0","","-6.5","","-4.3","","22.3","","0.0","","","M","","M","0.0","","2","","31","","35",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-23","2017","01","23","","-6.5","","-9.2","","-7.9","","25.9","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-24","2017","01","24","","-8.1","","-11.7","","-9.9","","27.9","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-25","2017","01","25","","-8.0","","-18.1","","-13.1","","31.1","","0.0","","","M","","M","0.2","","4","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-26","2017","01","26","","-1.6","","-20.1","","-10.9","","28.9","","0.0","","","M","","M","0.0","","3","","29","","35",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-27","2017","01","27","","1.6","","-10.2","","-4.3","","22.3","","0.0","","","M","","M","0.0","","4","","31","","43",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-28","2017","01","28","","3.5","","-6.0","","-1.3","","19.3","","0.0","","","M","","M","0.0","","4","","30","","35",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-29","2017","01","29","","5.8","","-4.5","","0.7","","17.3","","0.0","","","M","","M","0.0","","1","","28","","39",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-30","2017","01","30","","3.2","","-3.3","","-0.1","","18.1","","0.0","","","M","","M","0.7","","2","","30","","57",""
"-104.67","50.43","REGINA RCS","4016699","2017-01-31","2017","01","31","","-2.4","","-21.1","","-11.8","","29.8","","0.0","","","M","","M","0.4","","1","","31","","44",""
"-104.67","50.43","REGINA RCS","4016699","2017-02-01","2017","02","01","","-11.4","","-23.4","","-17.4","","35.4","","0.0","","","M","","M","0.0","","1","","31","","50",""
"-104.67","50.43","REGINA RCS","4016699","2017-02-02","2017","02","02","","-9.6","","-22.5","","-16.1","","34.1","","0.0","","","M","","M","0.0","","1","","30","","35",""
"-104.67","50.43","REGINA RCS","4016699","2017-02-03","2017","02","03","","-10.8","","-20.6","","-15.7","","33.7","","0.0","","","M","","M","0.0","","1","","12","","32",""
"-104.67","50.43","REGINA RCS","4016699","2017-02-04","2017","02","04","","-12.4","","-16.3","","-14.4","","32.4","","0.0","","","M","","M","0.2","","1","","34","","32",""
"-104.67","50.43","REGINA RCS","4016699","2017-02-05","2017","02","05","","-14.6","","-18.9","","-16.8","","34.8","","0.0","","","M","","M","4.2","","1","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2017-02-06","2017","02","06","","-15.8","","-18.5","","-17.2","","35.2","","0.0","","","M","","M","1.9","","11","","8","","33",""
"-104.67","50.43","REGINA RCS","4016699","2017-02-07","2017","02","07","","-18.3","","-34.6","","-26.5","","44.5","","0.0","","","M","","M","0.4","","14","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2017-02-08","2017","02","08","","-19.8","","-34.0","","-26.9","","44.9","","0.0","","","M","","M","0.0","","13","","29","","48",""
"-104.67","50.43","REGINA RCS","4016699","2017-02-09","2017","02","09","","-7.5","","-29.1","","-18.3","","36.3","","0.0","","","M","","M","1.3","","15","","13","","43",""
"-104.67","50.43","REGINA RCS","4016699","2017-02-10","2017","02","10","","-5.1","","-11.1","","-8.1","","26.1","","0.0","","","M","","M","0.2","","12","","35","","32",""
"-104.67","50.43","REGINA RCS","4016699","2017-02-11","2017","02","11","","-2.6","","-12.5","","-7.6","","25.6","","0.0","","","M","","M","0.0","","11","","28","","50",""
"-104.67","50.43","REGINA RCS","4016699","2017-02-12","2017","02","12","","0.3","","-13.9","","-6.8","","24.8","","0.0","","","M","","M","0.0","","12","","27","","33",""
"-104.67","50.43","REGINA RCS","4016699","2017-02-13","2017","02","13","","2.1","","-9.1","","-3.5","","21.5","","0.0","","","M","","M","0.0","","11","","29","","37",""
"-104.67","50.43","REGINA RCS","4016699","2017-02-14","2017","02","14","","4.1","","-11.7","","-3.8","","21.8","","0.0","","","M","","M","0.0","","11","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2017-02-15","2017","02","15","","6.4","","-7.8","","-0.7","","18.7","","0.0","","","M","","M","0.0","","11","","","","<31",""
