"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 00:00","2019","08","01","00:00","18.6","","13.0","","70","","9","","13","","","","94.95","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 01:00","2019","08","01","01:00","18.5","","12.9","","70","","9","","15","","","","94.95","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 02:00","2019","08","01","02:00","17.8","","12.9","","73","","10","","14","","","","94.94","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 03:00","2019","08","01","03:00","17.9","","13.2","","74","","10","","15","","","","94.91","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 04:00","2019","08","01","04:00","18.3","","12.8","","70","","11","","18","","","","94.88","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 05:00","2019","08","01","05:00","16.8","","12.6","","76","","9","","15","","","","94.90","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 06:00","2019","08","01","06:00","18.2","","13.7","","75","","9","","17","","","","94.96","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 07:00","2019","08","01","07:00","19.3","","14.4","","73","","11","","22","","","","94.97","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 08:00","2019","08","01","08:00","21.1","","15.1","","69","","12","","24","","","","94.96","","25","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 09:00","2019","08","01","09:00","22.2","","15.5","","66","","14","","29","","","","94.95","","26","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 10:00","2019","08","01","10:00","24.4","","16.0","","59","","14","","19","","","","94.95","","29","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 11:00","2019","08","01","11:00","26.8","","16.8","","54","","14","","27","","","","94.90","","32","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 12:00","2019","08","01","12:00","28.1","","16.6","","50","","14","","24","","","","94.87","","33","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 13:00","2019","08","01","13:00","30.1","","15.9","","42","","16","","20","","","","94.87","","35","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 14:00","2019","08","01","14:00","30.7","","15.1","","39","","16","","22","","","","94.85","","35","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 15:00","2019","08","01","15:00","30.7","","16.2","","42","","14","","20","","","","94.81","","35","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 16:00","2019","08","01","16:00","31.0","","15.2","","38","","15","","26","","","","94.80","","35","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 17:00","2019","08","01","17:00","31.2","","15.6","","39","","18","","21","","","","94.76","","36","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 18:00","2019","08","01","18:00","31.2","","14.0","","35","","17","","24","","","","94.76","","35","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 19:00","2019","08","01","19:00","29.1","","17.0","","48","","15","","21","","","","94.75","","34","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 20:00","2019","08","01","20:00","26.8","","16.4","","53","","16","","23","","","","94.77","","32","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 21:00","2019","08","01","21:00","24.1","","16.5","","62","","16","","16","","","","94.84","","29","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 22:00","2019","08","01","22:00","21.8","","13.7","","60","","16","","17","","","","94.88","","25","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-01 23:00","2019","08","01","23:00","20.3","","12.5","","61","","15","","17","","","","94.88","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-02 00:00","2019","08","02","00:00","18.5","","12.1","","66","","15","","17","","","","94.88","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-02 01:00","2019","08","02","01:00","17.4","","12.0","","71","","14","","18","","","","94.86","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-02 02:00","2019","08","02","02:00","16.4","","12.2","","76","","14","","20","","","","94.86","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-08-02 03:00","2019","08","02","03:00","15.6","","12.3","","81","","13","","21","","","","94.84","","","","","","NA"
