"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 00:00","2019","04","01","00:00","-4.1","","-7.0","","80","","22","","9","","","","95.31","","","","-8","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 01:00","2019","04","01","01:00","-3.9","","-7.7","","75","","25","","10","","","","95.27","","","","-8","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 02:00","2019","04","01","02:00","-4.7","","-7.7","","80","","24","","12","","","","95.21","","","","-9","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 03:00","2019","04","01","03:00","-4.9","","-7.8","","80","","27","","11","","","","95.18","","","","-9","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 04:00","2019","04","01","04:00","-5.3","","-7.9","","82","","27","","12","","","","95.12","","","","-10","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 05:00","2019","04","01","05:00","-4.9","","-7.3","","83","","25","","12","","","","95.05","","","","-10","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 06:00","2019","04","01","06:00","-5.8","","-7.9","","85","","29","","9","","","","94.99","","","","-10","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 07:00","2019","04","01","07:00","-6.1","","-8.3","","84","","29","","8","","","","94.99","","","","-10","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 08:00","2019","04","01","08:00","-2.0","","-5.3","","78","","28","","15","","","","94.94","","","","-7","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 09:00","2019","04","01","09:00","2.5","","-3.4","","65","","29","","24","","","","94.87","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 10:00","2019","04","01","10:00","4.6","","-2.3","","61","","29","","33","","","","94.83","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 11:00","2019","04","01","11:00","2.8","","-0.7","","78","","31","","36","","","","94.82","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 12:00","2019","04","01","12:00","4.4","","-0.4","","71","","31","","30","","","","94.76","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 13:00","2019","04","01","13:00","6.0","","-2.7","","53","","30","","34","","","","94.70","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 14:00","2019","04","01","14:00","6.7","","-3.5","","48","","30","","33","","","","94.63","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 15:00","2019","04","01","15:00","6.5","","-4.2","","46","","29","","35","","","","94.58","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 16:00","2019","04","01","16:00","7.9","","-5.5","","38","","29","","35","","","","94.49","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 17:00","2019","04","01","17:00","7.8","","-5.6","","38","","30","","35","","","","94.45","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 18:00","2019","04","01","18:00","8.1","","-6.4","","35","","30","","37","","","","94.41","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 19:00","2019","04","01","19:00","5.7","","-4.2","","49","","30","","35","","","","94.42","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 20:00","2019","04","01","20:00","4.5","","-4.9","","50","","29","","29","","","","94.39","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 21:00","2019","04","01","21:00","3.0","","-1.7","","71","","31","","20","","","","94.43","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 22:00","2019","04","01","22:00","-0.1","","-3.6","","77","","36","","18","","","","94.48","","","","-5","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-01 23:00","2019","04","01","23:00","-1.9","","-4.3","","84","","34","","12","","","","94.46","","","","-6","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 00:00","2019","04","02","00:00","-1.5","","-3.0","","89","","33","","23","","","","94.51","","","","-8","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 01:00","2019","04","02","01:00","-2.2","","-3.5","","90","","32","","23","","","","94.52","","","","-8","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 02:00","2019","04","02","02:00","-2.2","","-3.6","","90","","31","","21","","","","94.50","","","","-8","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 03:00","2019","04","02","03:00","-3.8","","-5.3","","89","","30","","20","","","","94.52","","","","-10","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 04:00","2019","04","02","04:00","-2.9","","-4.3","","90","","30","","19","","","","94.54","","","","-9","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 05:00","2019","04","02","05:00","-3.5","","-5.1","","89","","35","","22","","","","94.55","","","","-10","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 06:00","2019","04","02","06:00","-3.7","","-5.3","","89","","32","","16","","","","94.59","","","","-9","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 07:00","2019","04","02","07:00","-4.9","","-6.3","","89","","32","","18","","","","94.63","","","","-11","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 08:00","2019","04","02","08:00","-4.2","","-6.1","","87","","32","","24","","","","94.65","","","","-11","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 09:00","2019","04","02","09:00","-4.2","","-6.2","","86","","33","","22","","","","94.69","","","","-11","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 10:00","2019","04","02","10:00","-2.7","","-5.9","","78","","32","","19","","","","94.63","","","","-8","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 11:00","2019","04","02","11:00","-2.1","","-8.9","","59","","31","","24","","","","94.66","","","","-8","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 12:00","2019","04","02","12:00","-1.4","","-7.1","","65","","29","","24","","","","94.61","","","","-8","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 13:00","2019","04","02","13:00","0.4","","-4.2","","72","","30","","32","","","","94.57","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 14:00","2019","04","02","14:00","1.0","","-4.4","","67","","30","","32","","","","94.51","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 15:00","2019","04","02","15:00","0.5","","-1.8","","85","","33","","30","","","","94.48","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 16:00","2019","04","02","16:00","2.3","","-5.1","","58","","31","","43","","","","94.43","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 17:00","2019","04","02","17:00","2.1","","-5.0","","59","","33","","42","","","","94.45","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 18:00","2019","04","02","18:00","2.0","","-7.1","","51","","32","","40","","","","94.47","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 19:00","2019","04","02","19:00","0.3","","-10.2","","45","","33","","32","","","","94.50","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 20:00","2019","04","02","20:00","-2.2","","-9.4","","58","","34","","18","","","","94.59","","","","-8","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 21:00","2019","04","02","21:00","-4.5","","-9.7","","67","","32","","13","","","","94.66","","","","-10","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 22:00","2019","04","02","22:00","-5.8","","-9.9","","72","","34","","8","","","","94.75","","","","-10","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-02 23:00","2019","04","02","23:00","-8.7","","-11.7","","79","","26","","11","","","","94.80","","","","-14","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-03 00:00","2019","04","03","00:00","-9.1","","-11.7","","81","","","","0","","","","94.86","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-03 01:00","2019","04","03","01:00","-8.9","","-11.7","","80","","19","","6","","","","94.88","","","","-12","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-03 02:00","2019","04","03","02:00","-8.9","","-11.7","","80","","16","","3","","","","94.86","","","","-11","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-03 03:00","2019","04","03","03:00","-9.3","","-11.7","","83","","14","","5","","","","94.89","","","","-12","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-03 04:00","2019","04","03","04:00","-10.4","","-13.0","","81","","15","","8","","","","94.88","","","","-15","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-03 05:00","2019","04","03","05:00","-9.5","","-11.9","","83","","13","","11","","","","94.93","","","","-15","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-03 06:00","2019","04","03","06:00","-8.5","","-10.8","","83","","14","","13","","","","94.95","","","","-14","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-03 07:00","2019","04","03","07:00","-7.2","","-10.4","","78","","14","","14","","","","94.96","","","","-13","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-03 08:00","2019","04","03","08:00","-5.3","","-9.1","","75","","15","","13","","","","94.98","","","","-10","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-03 09:00","2019","04","03","09:00","-2.3","","-6.8","","71","","16","","14","","","","95.00","","","","-7","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-03 10:00","2019","04","03","10:00","1.4","","-7.6","","51","","17","","20","","","","95.00","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-03 11:00","2019","04","03","11:00","2.3","","-10.0","","40","","17","","22","","","","95.00","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-03 12:00","2019","04","03","12:00","4.2","","-9.4","","36","","15","","23","","","","94.96","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-04-03 13:00","2019","04","03","13:00","5.4","","-8.7","","35","","15","","24","","","","94.87","","","","","","NA"
