"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-104.67","50.43","REGINA RCS","4016699","2019-06-01 00:00","2019","06","01","00:00","8.4","","-1.0","","52","","18","","4","","","","94.86","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-06-01 01:00","2019","06","01","01:00","8.7","","-0.6","","52","","15","","3","","","","94.85","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-06-01 02:00","2019","06","01","02:00","6.1","","-1.8","","57","","19","","8","","","","94.86","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-06-01 03:00","2019","06","01","03:00","6.3","","-2.3","","54","","22","","6","","","","94.88","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-06-01 04:00","2019","06","01","04:00","6.3","","-1.7","","57","","25","","1","","","","94.87","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-06-01 05:00","2019","06","01","05:00","5.7","","-0.3","","65","","9","","4","","","","94.87","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-06-01 06:00","2019","06","01","06:00","6.6","","1.0","","68","","9","","6","","","","94.88","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-06-01 07:00","2019","06","01","07:00","10.5","","1.8","","55","","16","","4","","","","94.89","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-06-01 08:00","2019","06","01","08:00","13.6","","0.4","","40","","14","","7","","","","94.88","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-06-01 09:00","2019","06","01","09:00","16.7","","0.4","","33","","13","","9","","","","94.87","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-06-01 10:00","2019","06","01","10:00","18.2","","0.3","","30","","12","","7","","","","94.86","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-06-01 11:00","2019","06","01","11:00","19.8","","0.6","","28","","15","","5","","","","94.81","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-06-01 12:00","2019","06","01","12:00","20.5","","0.4","","26","","11","","8","","","","94.76","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-06-01 13:00","2019","06","01","13:00","22.1","","0.7","","24","","11","","6","","","","94.70","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-06-01 14:00","2019","06","01","14:00","22.3","","0.2","","23","","4","","10","","","","94.66","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-06-01 15:00","2019","06","01","15:00","23.4","","0.7","","22","","28","","6","","","","94.62","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-06-01 16:00","2019","06","01","16:00","22.8","","-0.4","","21","","8","","7","","","","94.57","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-06-01 17:00","2019","06","01","17:00","23.4","","-0.3","","21","","6","","7","","","","94.53","","","","","","NA"
