"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-104.67","50.43","REGINA RCS","4016699","2009-01-01","2009","01","01","","-9.1","","-28.0","","-18.6","","36.6","","0.0","","","M","","M","0.2","","2","","29","","69",""
"-104.67","50.43","REGINA RCS","4016699","2009-01-02","2009","01","02","","-13.9","","-24.6","","-19.3","","37.3","","0.0","","0.0","","","M","1.6","","2","","12","","56",""
"-104.67","50.43","REGINA RCS","4016699","2009-01-03","2009","01","03","","-17.7","","-36.3","","-27.0","","45.0","","0.0","","","M","","M","0.7","","16","","30","","52",""
"-104.67","50.43","REGINA RCS","4016699","2009-01-04","2009","01","04","","-29.2","","-38.1","","-33.7","","51.7","","0.0","","","M","","M","0.4","","5","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2009-01-05","2009","01","05","","-15.0","","-30.6","","-22.8","","40.8","","0.0","","","M","","M","0.0","","6","","13","","43",""
"-104.67","50.43","REGINA RCS","4016699","2009-01-06","2009","01","06","","-15.9","","-20.8","","-18.4","","36.4","","0.0","","","M","","M","0.0","","23","","32","","33",""
"-104.67","50.43","REGINA RCS","4016699","2009-01-07","2009","01","07","","-16.8","","-23.4","","-20.1","","38.1","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2009-01-08","2009","01","08","","-13.6","","-22.3","","-18.0","","36.0","","0.0","","","M","","M","2.9","","22","","11","","44",""
"-104.67","50.43","REGINA RCS","4016699","2009-01-09","2009","01","09","","-14.8","","-23.9","","-19.4","","37.4","","0.0","","","M","","M","0.6","","22","","29","","37",""
"-104.67","50.43","REGINA RCS","4016699","2009-01-10","2009","01","10","","-4.1","","-21.2","","-12.7","","30.7","","0.0","","","M","","M","0.3","","22","","30","","41",""
