"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-104.67","50.43","REGINA RCS","4016699","2013-01-01","2013","01","01","","-1.7","","-22.6","","-12.2","","30.2","","0.0","","","M","","M","0.2","","19","","31","","54",""
"-104.67","50.43","REGINA RCS","4016699","2013-01-02","2013","01","02","","-2.9","","-14.7","","-8.8","","26.8","","0.0","","","M","","M","0.2","","19","","32","","56",""
"-104.67","50.43","REGINA RCS","4016699","2013-01-03","2013","01","03","","-5.2","","-16.4","","-10.8","","28.8","","0.0","","","M","","M","0.0","","19","","26","","37",""
"-104.67","50.43","REGINA RCS","4016699","2013-01-04","2013","01","04","","-8.8","","-16.7","","-12.8","","30.8","","0.0","","","M","","M","0.0","","19","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2013-01-05","2013","01","05","","-8.3","","-18.5","","-13.4","","31.4","","0.0","","","M","","M","0.0","","19","","28","","33",""
"-104.67","50.43","REGINA RCS","4016699","2013-01-06","2013","01","06","","-0.8","","-11.7","","-6.3","","24.3","","0.0","","","M","","M","0.0","","19","","28","","56",""
"-104.67","50.43","REGINA RCS","4016699","2013-01-07","2013","01","07","","-0.7","","-14.9","","-7.8","","25.8","","0.0","","","M","","M","0.0","","19","","28","","52",""
"-104.67","50.43","REGINA RCS","4016699","2013-01-08","2013","01","08","","-0.7","","-14.0","","-7.4","","25.4","","0.0","","","M","","M","1.2","","19","","30","","72",""
"-104.67","50.43","REGINA RCS","4016699","2013-01-09","2013","01","09","","3.5","","-14.4","","-5.5","","23.5","","0.0","","","M","","M","0.0","","19","","15","","54",""
"-104.67","50.43","REGINA RCS","4016699","2013-01-10","2013","01","10","","3.4","","-10.7","","-3.7","","21.7","","0.0","","0.0","","","M","5.4","","19","","3","","56",""
