"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-104.67","50.43","REGINA RCS","4016699","2014-01-01","2014","01","01","","-22.2","","-28.2","","-25.2","","43.2","","0.0","","","M","","M","0.2","","5","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-02","2014","01","02","","-9.1","","-30.5","","-19.8","","37.8","","0.0","","","M","","M","0.0","","4","","14","","46",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-03","2014","01","03","","-5.9","","-22.0","","-14.0","","32.0","","0.0","","","M","","M","2.9","","5","","35","","63",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-04","2014","01","04","","-21.8","","-28.9","","-25.4","","43.4","","0.0","","","M","","M","0.0","","5","","32","","44",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-05","2014","01","05","","-26.4","","-33.9","","-30.2","","48.2","","0.0","","","M","","M","0.0","","","","32","","52",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-06","2014","01","06","","-22.3","","-36.6","","-29.5","","47.5","","0.0","","","M","","M","0.7","","5","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-07","2014","01","07","","-21.1","","-31.9","","-26.5","","44.5","","0.0","","","M","","M","0.2","","5","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-08","2014","01","08","","-13.2","","-35.6","","-24.4","","42.4","","0.0","","","M","","M","0.0","","4","","13","","50",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-09","2014","01","09","","-11.0","","-19.0","","-15.0","","33.0","","0.0","","","M","","M","0.3","","6","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-10","2014","01","10","","-7.5","","-16.0","","-11.8","","29.8","","0.0","","","M","","M","0.0","","6","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-11","2014","01","11","","4.2","","-18.5","","-7.2","","25.2","","0.0","","","M","","M","0.0","","5","","27","","63",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-12","2014","01","12","","2.5","","-18.7","","-8.1","","26.1","","0.0","","","M","","M","0.0","","5","","31","","63",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-13","2014","01","13","","-3.4","","-20.9","","-12.2","","30.2","","0.0","","","M","","M","0.0","","2","","34","","59",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-14","2014","01","14","","-7.6","","-14.1","","-10.9","","28.9","","0.0","","","M","","M","0.0","","6","","31","","41",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-15","2014","01","15","","4.4","","-7.6","","-1.6","","19.6","","0.0","","","M","","M","0.0","","6","","30","","96",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-16","2014","01","16","","-0.2","","-15.6","","-7.9","","25.9","","0.0","","","M","","M","0.0","","4","","34","","82",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-17","2014","01","17","","2.3","","-13.5","","-5.6","","23.6","","0.0","","","M","","M","0.0","","3","","31","","67",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-18","2014","01","18","","2.3","","-9.7","","-3.7","","21.7","","0.0","","","M","","M","0.0","","4","","32","","65",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-19","2014","01","19","","1.9","","-7.5","","-2.8","","20.8","","0.0","","","M","","M","0.0","","4","","30","","46",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-20","2014","01","20","","-0.4","","-25.0","","-12.7","","30.7","","0.0","","","M","","M","0.0","","5","","33","","65",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-21","2014","01","21","","-7.4","","-17.9","","-12.7","","30.7","","0.0","","","M","","M","0.0","","5","","34","","56",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-22","2014","01","22","","-13.2","","-28.4","","-20.8","","38.8","","0.0","","","M","","M","0.0","","5","","2","","48",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-23","2014","01","23","","-0.5","","-28.7","","-14.6","","32.6","","0.0","","","M","","M","0.0","","5","","31","","43",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-24","2014","01","24","","2.6","","-5.7","","-1.6","","19.6","","0.0","","","M","","M","0.0","","4","","1","","54",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-25","2014","01","25","","2.2","","-10.4","","-4.1","","22.1","","0.0","","","M","","M","1.1","","4","","35","","74",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-26","2014","01","26","","-2.2","","-28.1","","-15.2","","33.2","","0.0","","","M","","M","0.2","","4","","36","","83",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-27","2014","01","27","","-23.9","","-31.3","","-27.6","","45.6","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-28","2014","01","28","","-13.9","","-30.5","","-22.2","","40.2","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-29","2014","01","29","","-10.4","","-18.9","","-14.7","","32.7","","0.0","","","M","","M","0.0","","4","","34","","48",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-30","2014","01","30","","-18.7","","-27.6","","-23.2","","41.2","","0.0","","","M","","M","0.0","","4","","33","","50",""
"-104.67","50.43","REGINA RCS","4016699","2014-01-31","2014","01","31","","-12.5","","-27.4","","-20.0","","38.0","","0.0","","","M","","M","0.0","","4","","33","","50",""
"-104.67","50.43","REGINA RCS","4016699","2014-02-01","2014","02","01","","-12.7","","-21.6","","-17.2","","35.2","","0.0","","","M","","M","0.0","","4","","32","","35",""
"-104.67","50.43","REGINA RCS","4016699","2014-02-02","2014","02","02","","-11.4","","-18.4","","-14.9","","32.9","","0.0","","","M","","M","0.0","","4","","29","","41",""
"-104.67","50.43","REGINA RCS","4016699","2014-02-03","2014","02","03","","-13.3","","-25.5","","-19.4","","37.4","","0.0","","","M","","M","0.0","","4","","33","","46",""
"-104.67","50.43","REGINA RCS","4016699","2014-02-04","2014","02","04","","-20.8","","-32.8","","-26.8","","44.8","","0.0","","","M","","M","0.2","","3","","33","","32",""
"-104.67","50.43","REGINA RCS","4016699","2014-02-05","2014","02","05","","-20.1","E","-30.2","E","-25.2","E","43.2","E","0.0","E","","M","","M","0.0","","4","","","M","","M"
"-104.67","50.43","REGINA RCS","4016699","2014-02-06","2014","02","06","","-16.5","","-25.5","","-21.0","","39.0","","0.0","","","M","","M","","M","3","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2014-02-07","2014","02","07","","-17.2","","-28.0","","-22.6","","40.6","","0.0","","","M","","M","0.2","","3","","25","","37",""
"-104.67","50.43","REGINA RCS","4016699","2014-02-08","2014","02","08","","-17.2","","-28.9","","-23.1","","41.1","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2014-02-09","2014","02","09","","-23.4","","-33.9","","-28.7","","46.7","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2014-02-10","2014","02","10","","-19.7","","-31.0","","-25.4","","43.4","","0.0","","","M","","M","0.0","","3","","14","","33",""
"-104.67","50.43","REGINA RCS","4016699","2014-02-11","2014","02","11","","-15.8","","-23.5","","-19.7","","37.7","","0.0","","","M","","M","0.0","","3","","32","","41",""
"-104.67","50.43","REGINA RCS","4016699","2014-02-12","2014","02","12","","-16.0","E","-23.5","E","-19.8","E","37.8","E","0.0","E","","M","","M","1.1","E","3","","","M","","M"
"-104.67","50.43","REGINA RCS","4016699","2014-02-13","2014","02","13","","-17.2","","-28.4","","-22.8","","40.8","","0.0","","","M","","M","0.0","","21","","12","","39",""
"-104.67","50.43","REGINA RCS","4016699","2014-02-14","2014","02","14","","-9.0","","-22.7","","-15.9","","33.9","","0.0","","","M","","M","0.0","","17","","","","<31",""
"-104.67","50.43","REGINA RCS","4016699","2014-02-15","2014","02","15","","-12.1","","-19.9","","-16.0","","34.0","","0.0","","","M","","M","0.2","","16","","13","","43",""
"-104.67","50.43","REGINA RCS","4016699","2014-02-16","2014","02","16","","0.9","","-19.8","","-9.5","","27.5","","0.0","","","M","","M","0.5","","14","","13","","65",""
"-104.67","50.43","REGINA RCS","4016699","2014-02-17","2014","02","17","","1.9","","-11.9","","-5.0","","23.0","","0.0","","","M","","M","0.0","","6","","25","","35",""
"-104.67","50.43","REGINA RCS","4016699","2014-02-18","2014","02","18","","-2.5","","-15.2","","-8.9","","26.9","","0.0","","","M","","M","0.0","","","","30","","41",""
"-104.67","50.43","REGINA RCS","4016699","2014-02-19","2014","02","19","","-2.7","","-13.5","","-8.1","","26.1","","0.0","","","M","","M","","M","6","","","","<31",""
