"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-104.67","50.43","REGINA RCS","4016699","2019-01-01 00:00","2019","01","01","00:00","-28.9","","-32.7","","69","","13","","11","","","","95.99","","","","-38","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-01-01 01:00","2019","01","01","01:00","-28.3","","-32.1","","70","","13","","13","","","","95.90","","","","-39","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-01-01 02:00","2019","01","01","02:00","-24.9","","-28.3","","73","","16","","16","","","","95.81","","","","-35","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-01-01 03:00","2019","01","01","03:00","-24.8","","-28.3","","73","","15","","11","","","","95.80","","","","-33","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-01-01 04:00","2019","01","01","04:00","-28.7","","-32.7","","69","","13","","14","","","","95.69","","","","-39","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-01-01 05:00","2019","01","01","05:00","-25.2","","-28.6","","74","","14","","13","","","","95.53","","","","-35","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-01-01 06:00","2019","01","01","06:00","-25.4","","-29.0","","72","","14","","16","","","","95.35","","","","-36","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-01-01 07:00","2019","01","01","07:00","-24.4","","-28.0","","72","","15","","18","","","","95.24","","","","-35","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-01-01 08:00","2019","01","01","08:00","-23.4","","-26.7","","74","","15","","18","","","","95.10","","","","-34","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-01-01 09:00","2019","01","01","09:00","-22.2","","-25.4","","75","","14","","13","","","","95.04","","","","-31","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-01-01 10:00","2019","01","01","10:00","-19.8","","-22.8","","77","","16","","18","","","","94.90","","","","-30","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-01-01 11:00","2019","01","01","11:00","-15.5","","-18.1","","81","","19","","26","","","","94.71","","","","-26","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-01-01 12:00","2019","01","01","12:00","-14.1","","-17.8","","74","","19","","30","","","","94.46","","","","-25","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-01-01 13:00","2019","01","01","13:00","-13.0","","-17.1","","72","","18","","27","","","","94.27","","","","-23","","NA"
