"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-104.67","50.43","REGINA RCS","4016699","2019-09-01 00:00","2019","09","01","00:00","14.9","","10.7","","76","","4","","21","","","","94.95","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-09-01 01:00","2019","09","01","01:00","14.4","","9.4","","72","","4","","19","","","","94.96","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-09-01 02:00","2019","09","01","02:00","13.6","","9.8","","78","","4","","15","","","","94.97","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-09-01 03:00","2019","09","01","03:00","13.3","","9.7","","79","","4","","9","","","","94.99","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-09-01 04:00","2019","09","01","04:00","12.6","","8.8","","78","","2","","9","","","","94.98","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-09-01 05:00","2019","09","01","05:00","12.3","","8.7","","79","","35","","5","","","","95.02","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-09-01 06:00","2019","09","01","06:00","11.8","","9.2","","84","","35","","8","","","","95.06","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-09-01 07:00","2019","09","01","07:00","11.9","","9.8","","87","","34","","7","","","","95.10","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-09-01 08:00","2019","09","01","08:00","13.2","","10.1","","82","","35","","6","","","","95.16","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-09-01 09:00","2019","09","01","09:00","14.3","","10.3","","77","","3","","10","","","","95.18","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-09-01 10:00","2019","09","01","10:00","16.2","","10.1","","67","","5","","9","","","","95.19","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-09-01 11:00","2019","09","01","11:00","16.9","","7.1","","52","","5","","11","","","","95.21","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-09-01 12:00","2019","09","01","12:00","17.9","","6.5","","47","","6","","7","","","","95.21","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-09-01 13:00","2019","09","01","13:00","19.0","","5.5","","41","","8","","2","","","","95.19","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-09-01 14:00","2019","09","01","14:00","20.2","","5.9","","39","","10","","6","","","","95.19","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-09-01 15:00","2019","09","01","15:00","20.4","","5.8","","38","","3","","4","","","","95.15","","","","","","NA"
