"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 00:00","2019","05","01","00:00","-2.1","","-7.4","","67","","23","","15","","","","95.10","","","","-7","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 01:00","2019","05","01","01:00","-5.4","","-8.7","","78","","20","","11","","","","95.12","","","","-10","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 02:00","2019","05","01","02:00","-5.6","","-8.8","","78","","0","","1","","","","95.14","","","","-6","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 03:00","2019","05","01","03:00","-5.1","","-8.4","","77","","23","","7","","","","95.09","","","","-8","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 04:00","2019","05","01","04:00","-5.5","","-8.0","","82","","22","","7","","","","95.09","","","","-9","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 05:00","2019","05","01","05:00","-5.4","","-7.8","","83","","27","","5","","","","95.10","","","","-8","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 06:00","2019","05","01","06:00","-1.6","","-3.6","","86","","29","","14","","","","95.13","","","","-6","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 07:00","2019","05","01","07:00","-0.8","","-2.9","","86","","34","","18","","","","95.20","","","","-6","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 08:00","2019","05","01","08:00","-0.1","","-4.0","","75","","34","","14","","","","95.21","","","","-4","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 09:00","2019","05","01","09:00","1.1","","-4.9","","64","","1","","16","","","","95.21","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 10:00","2019","05","01","10:00","2.3","","-6.1","","54","","34","","15","","","","95.22","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 11:00","2019","05","01","11:00","3.8","","-6.9","","45","","35","","6","","","","95.19","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 12:00","2019","05","01","12:00","5.2","","-9.5","","34","","31","","8","","","","95.13","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 13:00","2019","05","01","13:00","7.1","","-10.5","","27","","20","","4","","","","95.06","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 14:00","2019","05","01","14:00","7.8","","-12.0","","23","","13","","4","","","","95.00","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 15:00","2019","05","01","15:00","9.6","","-10.4","","23","","19","","8","","","","94.93","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 16:00","2019","05","01","16:00","10.1","","-10.3","","23","","21","","14","","","","94.86","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 17:00","2019","05","01","17:00","10.6","","-8.9","","24","","20","","15","","","","94.81","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 18:00","2019","05","01","18:00","10.8","","-8.6","","25","","21","","17","","","","94.77","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 19:00","2019","05","01","19:00","8.6","","-8.4","","29","","20","","20","","","","94.74","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 20:00","2019","05","01","20:00","7.3","","-8.1","","33","","18","","19","","","","94.74","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 21:00","2019","05","01","21:00","4.8","","-7.3","","41","","19","","19","","","","94.73","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 22:00","2019","05","01","22:00","2.8","","-7.3","","47","","17","","20","","","","94.70","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-01 23:00","2019","05","01","23:00","3.4","","-7.0","","47","","17","","22","","","","94.64","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-02 00:00","2019","05","02","00:00","2.8","","-6.4","","51","","16","","21","","","","94.61","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-02 01:00","2019","05","02","01:00","4.8","","-4.1","","53","","19","","24","","","","94.61","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-02 02:00","2019","05","02","02:00","5.2","","-4.3","","50","","17","","28","","","","94.57","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-02 03:00","2019","05","02","03:00","4.6","","-3.4","","56","","16","","23","","","","94.49","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-02 04:00","2019","05","02","04:00","4.0","","-2.9","","61","","16","","21","","","","94.43","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-02 05:00","2019","05","02","05:00","2.9","","-2.8","","66","","15","","18","","","","94.37","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-02 06:00","2019","05","02","06:00","2.0","","-2.8","","70","","15","","17","","","","94.33","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-02 07:00","2019","05","02","07:00","3.0","","-2.1","","69","","15","","19","","","","94.29","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-02 08:00","2019","05","02","08:00","5.3","","-1.4","","62","","17","","20","","","","94.24","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-02 09:00","2019","05","02","09:00","8.8","","-1.2","","49","","16","","18","","","","94.19","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-02 10:00","2019","05","02","10:00","9.3","","-1.8","","46","","21","","17","","","","94.15","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-02 11:00","2019","05","02","11:00","10.2","","-2.0","","43","","16","","13","","","","94.12","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-02 12:00","2019","05","02","12:00","12.3","","-3.5","","33","","21","","14","","","","94.06","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-02 13:00","2019","05","02","13:00","13.3","","-5.0","","28","","23","","10","","","","93.99","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-02 14:00","2019","05","02","14:00","14.7","","-4.3","","27","","23","","20","","","","93.95","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-02 15:00","2019","05","02","15:00","15.5","","-4.4","","25","","25","","22","","","","93.88","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-02 16:00","2019","05","02","16:00","16.4","","-6.2","","21","","24","","29","","","","93.83","","","","","","NA"
"-104.67","50.43","REGINA RCS","4016699","2019-05-02 17:00","2019","05","02","17:00","12.8","","0.6","","43","","31","","41","","","","93.88","","","","","","NA"
